"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1911.33/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method","PrivateNote"
"0x5dbf8e978faac2330008854410c69eac6242a2ca625008110156bd97281448f3","17088017","1681997471","2023-04-20 13:31:11","0x9f7ce8f37da2081b9968766637503083bc92b640","","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","0","0","0","0.04263294310949878","81.4856231534783","1943.17","","","0x60c06040",""
"0x52a48d6672ba35a14d22dbfde8cd75a739101feeab70b559aa378f711bba5add","17088029","1681997615","2023-04-20 13:33:35","0x888c1b895f551404f2b78b4bdcfff563ebcf7bcf","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.002698678908487879","5.15806595816014","1943.17","","","Approve",""
"0x3a05d75aa561cd6887215146e057f95d230bc4ee0d26a117ba9750ff5761fccf","17107884","1682239199","2023-04-23 08:39:59","0x9f7ce8f37da2081b9968766637503083bc92b640","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.001615793817982289","3.08831519812409","1862.42","","","Approve",""
"0x3d50d32b28f1d6b65b608d129b899f5572cafbd5712659bf3b19e5db6ef13b37","17107915","1682239583","2023-04-23 08:46:23","0x00003c85bf903e179f1224bc8ab2ea4ed8000001","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.002029540387046315","3.87912142797323","1862.42","","","Approve",""
"0x52d95f828562536220e66a1ae07f8187e2734cd17da78cbefcce0c18de25b752","17107916","1682239595","2023-04-23 08:46:35","0xa6e31739f0e1d05df74f0067f8ec62654a013a7b","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.001937966713741636","3.7040939189758","1862.42","","","Approve",""
"0x6711652e0937acfec6d7a483612df9dd2c07cd8499e3b3d621540eed23f07c38","17107916","1682239595","2023-04-23 08:46:35","0x1846fc2b62c169778e09136f63266153db0e0c9b","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.001937966713741636","3.7040939189758","1862.42","","","Approve",""
"0xa3a1ce9ecc9842eccba39f4362cd30850aed75c201f6ca9f9e13fa9d4f966d4f","17107916","1682239595","2023-04-23 08:46:35","0x3b3199688d8ae08dce6cc1ea325db6ee1deecf23","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.001937966713741636","3.7040939189758","1862.42","","","Approve",""
"0x0b029b5e520a0cfe4ef69ed98582a939cd37245135cb86158a9d57a710c9b723","17107917","1682239607","2023-04-23 08:46:47","0x2ee298c9bea9b61fe5f9789d9fd309ef85fb688d","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.001961410259387972","3.74890227107601","1862.42","","","Approve",""
"0xd73721c3180a10bb504a5791d14720bcd2b872f97a9fdfd0fb1c0e53ca27094a","17107919","1682239631","2023-04-23 08:47:11","0x6e09647dd1fb26d8161c06519d5a5e5a323f8e04","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.001809873252448893","3.45926504360314","1862.42","","","Approve",""
"0x617e69117d6960468606ee9fda9b2fb8f53e1389e9517327515b4e2f25892cb0","17107924","1682239703","2023-04-23 08:48:23","0x6dc3df39a71b61b791c626882d3e552a3e1c3f9b","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.002131747463334694","4.0744728790955","1862.42","","","Approve",""
"0xcc8255bd78bceca88be3935417b8e5b016df1f9106ef1de5571aedafbbaf9757","17107924","1682239703","2023-04-23 08:48:23","0x75dabe744de14f2490a53127a966a96b515dcca5","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.002131747463334694","4.0744728790955","1862.42","","","Approve",""
"0xce4711f38ec6718780a595bd691c494dff14abafafd7e4a26cf9f19bceb8fe98","17107928","1682239751","2023-04-23 08:49:11","0xd8cd7fc90fa753012fb7fd42db1313b14140b070","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.002235107181646304","4.27202740949603","1862.42","","","Approve",""
"0x685cc3a30d08aa7fd146507dff00502887a69d7248f1df3e9e707905aa86d1b7","17107930","1682239775","2023-04-23 08:49:35","0x76b37f36b633f04b8bc380ce7f8d00e59d29b082","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.002286158463836601","4.36960325668481","1862.42","","","Approve",""
"0x308e578204a4857b24f31532d2feeef7a901720d7c872227129feed535a58257","17107931","1682239799","2023-04-23 08:49:59","0x16c9ebb3d96550e6dbc376f7d89410df93832c99","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.002059993944539955","3.93732822601755","1862.42","","","Approve",""
"0x371699607e6ca8d2bc4ffe033196c3432c10c53801222d88e39169d904aed79d","17107933","1682239823","2023-04-23 08:50:23","0x462cbf504a5bb25a13a719b222c6a379145f2aae","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.00252931258663566","4.83435102621434","1862.42","","","Approve",""
"0xbfc1c5d6c74f3bcc5d3f0f8c11e15ee4febaf379f1a745a2ea34352f4f519420","17107933","1682239823","2023-04-23 08:50:23","0xac7b282d19dc128f51091d682578fe3dd2600321","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.00252931258663566","4.83435102621434","1862.42","","","Approve",""
"0xa3d1095c113757911f3d7f1181db69c1ef32834d8118c86bca9c97b30f320adf","17107935","1682239847","2023-04-23 08:50:47","0xedbf6d3d46970e7eee1c1708063130c6af7444e7","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.002101661335979728","4.01696836129813","1862.42","","","Approve",""
"0x9ec1b11644babb87aa037d389e02d69e9d34dfab9a1074569fe84820d3b6f03e","17107939","1682239895","2023-04-23 08:51:35","0x7f049c724db0ac1762c3aca0160c4a696a32d725","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.001749547317113159","3.34396227361789","1862.42","","","Approve",""
"0x87f3d0383f734fd09b82ad98fe9f6dadff8203d3ceb6aaa37cd4c9ddebcb87dc","17107945","1682239967","2023-04-23 08:52:47","0x1b1f5728bda7c58ef9f95af3f764fad8090f821d","0x6c4c193bff0a117f0c2b516802abba961a1eeb12","","0","0","0","0.0018602906283054","3.55562928659896","1862.42","","","Approve",""
